epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
119,170967,0.39358,0.24857,0.92052,0.98639,0.98094,0.993,0.94492,0.28395,0.21405,0.79476,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,172391,0.39336,0.24619,0.91612,0.98512,0.98256,0.99299,0.94425,0.28327,0.2129,0.794,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,173818,0.39107,0.24603,0.91654,0.98522,0.98222,0.99297,0.94507,0.2832,0.21194,0.79388,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,175250,0.38726,0.24364,0.91383,0.98608,0.98185,0.99295,0.94523,0.28284,0.21179,0.7935,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,176681,0.38603,0.24175,0.91588,0.98732,0.98037,0.99296,0.94522,0.2826,0.21002,0.79334,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,178106,0.38187,0.23994,0.91287,0.98801,0.98017,0.99297,0.9452,0.28245,0.20938,0.79298,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,179530,0.38313,0.24025,0.91199,0.98801,0.98022,0.99297,0.94521,0.28244,0.20871,0.79253,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,180958,0.38018,0.23817,0.91044,0.98753,0.9806,0.99297,0.94513,0.28254,0.2068,0.79236,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,182384,0.37752,0.23631,0.91387,0.9871,0.9808,0.99295,0.9451,0.28225,0.20616,0.79225,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,183811,0.3731,0.23209,0.91227,0.98665,0.98124,0.99296,0.94522,0.28216,0.2054,0.79243,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,185242,0.36954,0.22995,0.90755,0.98626,0.98152,0.99296,0.94522,0.28213,0.20468,0.79242,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,186669,0.37152,0.23104,0.90898,0.98586,0.98268,0.99294,0.94524,0.28215,0.20512,0.79242,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,188095,0.36669,0.2255,0.90481,0.98597,0.98229,0.99294,0.94523,0.28214,0.20544,0.79241,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,189527,0.36494,0.22653,0.90421,0.9865,0.9821,0.99296,0.94446,0.28211,0.20566,0.7922,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,190956,0.3632,0.22493,0.90354,0.98645,0.98222,0.99294,0.94433,0.28194,0.20537,0.79223,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,192384,0.36034,0.22285,0.90287,0.98643,0.98228,0.99295,0.94511,0.28169,0.20649,0.79208,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,193813,0.35834,0.22158,0.90412,0.98668,0.9821,0.99293,0.9443,0.28147,0.20248,0.792,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,195242,0.35595,0.21821,0.90185,0.987,0.98166,0.99294,0.94433,0.28123,0.20514,0.79184,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
